,Unnamed: 0,user_id,user_name,location,created_at,description,followers_count,friends_count,listed_count,favourites_count,statuses_count,geo_enabled,time_zone,resp_time
55,55,2843752119,jcstua,,Sat Oct 25 15:00:25 +0000 2014,,0,15,0,9,28,False,,17036.0
56,56,737736912,sarah_bruski,,Sun Aug 05 01:11:11 +0000 2012,Don't let the Muggles get you down.,123,110,0,292,1293,False,,16757.0
57,57,1606602794,SiegmansSources,Chicago,Fri Jul 19 19:23:42 +0000 2013,Food and Culture Blogger Follow me on Instagram @mlschicago,124,359,6,210,1030,True,,16672.0
58,58,209162241,leiagracea,Boston,Thu Oct 28 16:49:18 +0000 2010,Crazy girl with a camera!,118,341,2,307,375,False,,16530.0
59,59,182613737,ambsvanhook,,Wed Aug 25 00:34:44 +0000 2010,#CayutsBy90,93,117,0,1317,4564,True,,16681.0
60,60,3140623461,MP_Billingsley,"Fairfax, VA",Mon Apr 06 14:49:48 +0000 2015,GD Mission Systems Ground Systems LOB strategic communications senior manager. All tweets my own. Follow us @GDMS.,238,789,141,3194,4098,True,,452.0
61,61,237098287,NiaFlos,Chi-City,Wed Jan 12 02:29:02 +0000 2011,,261,318,1,138,5203,True,,15978.0
62,62,1873353469,kathybiallas,,Mon Sep 16 23:08:29 +0000 2013,,17,194,0,523,159,False,,1673.5
63,63,2992970214,LEVIIA7HAN,,Fri Jan 23 06:57:04 +0000 2015,"hi am howrd
i do things
soontobe broke college student
i want to stream and entertain
i also play with electricity for now
ty for viewing my profile",36,236,0,1933,650,False,,15567.0
64,64,865676783781367808,simplymiriamm,Texas,Fri May 19 21:13:23 +0000 2017,"Momma X3| I blog| I prefer tea & the simple things in life 
💌 simplymiriamm@gmail.com",1169,980,16,6448,6221,False,,NA
65,65,146855533,matthew_w_bk,"Brooklyn, NY",Sat May 22 14:30:58 +0000 2010,,168,420,9,10014,2139,True,,1201.5
66,66,1935290388,natice7,"Seattle, WA",Fri Oct 04 20:04:17 +0000 2013,Traveler. NY native. Latina. Foodie. Enjoys both extremes but finds peace in the in- between. Sci-fi & Tech Enthusiast. Believes in borderless societies.,29,156,0,1913,601,True,,NA
67,67,51912802,Fire_In_Babylon,CT,Mon Jun 29 01:38:03 +0000 2009,"Bah weep granah weep ninni bong.
Animal advocate, #NYR, #NYgiants, #LGM , #UConnNation, Comics, Videogames, Novels, Husband, and all around cool guy.",112,701,3,1872,5928,False,,12746.0
68,68,18296006,pszim,"Starkville, MS",Mon Dec 22 00:05:21 +0000 2008,,523,530,7,1242,6767,True,,438.0
69,69,395275797,Applegyrl007,Phoeniz AZ,Fri Oct 21 12:22:39 +0000 2011,Saving the world by recycling one item at a time!  Green is good!,23,148,0,848,334,True,,NA
70,70,249993118,Chathamboy12,Chatham,Thu Feb 10 05:38:49 +0000 2011,for business inquiry cb12reviews@icloud.com,86,88,7,49,3973,True,,25731.0
71,71,431499643,HelloFresh,"New York, NY",Thu Dec 08 10:31:37 +0000 2011,"HelloFresh is a weekly recipe-kit delivery service. You choose delicious recipes, we deliver them straight to your door! Get $25 off ➡️ https://t.co/Sp6cnqvFeh 📦",30876,2334,306,26781,38845,False,,NA
72,72,1428378222,AXHolland,Green Gables,Tue May 14 17:27:45 +0000 2013,#Writer | Silly giggle box |Nephew is adorable | I love a new book smell | 1970s music keeps me happy |We can be better I #BeWise I #BeKind | Always #IBidUPeace,1058,1050,27,26,1544,False,,2538.0
73,73,292631611,gobbleinc,"Palo Alto, California",Tue May 03 23:51:38 +0000 2011,"Fresh, prepped dinner kits delivered to your doorstep. We create one-pan meals with 3-step instructions so you get more time with your loved ones.",3768,212,40,2527,1079,False,,NA
74,74,892042048198541314,sciencebaby1,"Hyattsville, MD",Mon Jul 31 15:19:32 +0000 2017,Keeper of keys. Executive Director of the Clean Plate Club.,28,149,1,266,332,False,,NA
75,75,1167417318,Bsmith1389,,Mon Feb 11 00:45:10 +0000 2013,"let's see here. I'm 29, have an amazing son that gets all of my attention.  I play disc golf (pdga#94615). I love anything and everything outdoors.",72,407,3,1095,596,False,,505.0
76,76,43744923,TheEBo,"Columbus, GA",Sun May 31 20:00:36 +0000 2009,"When I wake up; The lord shines his light on me, and the Devil says, ah shit he's up.",235,1074,3,1663,5616,True,,8065.0
77,77,757011494953361408,Dee_T_Knight,"Sandy, UT",Sun Jul 24 00:36:19 +0000 2016,"🌵 Tucson Native, currently living in ❄️Utah. Aspiring public speaker, Army Vet, #BoyMom, avid weight-lifter & frequent sf vanilla, soy, latte drinker.",499,1815,14,2480,567,True,,2116.5
78,78,3188744637,ItzSpelledGEOFF,,Tue Apr 21 00:33:35 +0000 2015,,3,33,0,64,163,False,,7145.0
79,79,185708536,HayBay411,,Wed Sep 01 17:01:56 +0000 2010,"25// ""You're saying it wrong. It's MinneSOta not MinnesoTA""",83,402,1,6680,16813,True,,352.0
80,80,41479390,whitneyw3,"Charlotte, NC",Wed May 20 23:33:09 +0000 2009,"UGA Alum. Insurance Broker by day, wannabe beer connoisseur by night. I’ll be on Survivor one day.",284,136,3,91,2374,False,,5674.0
81,81,18908040,WesGordon1,,Mon Jan 12 17:41:20 +0000 2009,"Greatest of these is Love......... I love Meaghan, Mary Reeves, Murphy, MAX, Mamie, MSU, and Dwight Schrute.",898,653,5,2897,7234,False,,1734.0
82,82,17239346,AaudreeJ,"Black Hills, SD/Memphis ",Fri Nov 07 21:29:22 +0000 2008,I complain more than I should.,183,378,4,1815,7213,True,,5707.0
83,83,580257309,CollinB63,,Mon May 14 19:41:29 +0000 2012,Tired of this shit,342,427,2,26691,22680,False,,NA
84,84,1720683330,IHateFraudss,,Mon Sep 02 00:51:39 +0000 2013,,676,543,4,3887,17679,True,,NA
85,85,606717701,Sungoddess1961,"Colorado Springs, CO",Tue Jun 12 23:15:44 +0000 2012,IG: Follow me at wellnessmattersceo,97,602,0,340,542,True,,1947.0
86,86,1117503061,THEsolo_man,"Waterloo, IA",Thu Jan 24 18:57:04 +0000 2013,If u have a hot girlfriend an all u want to do is play video games. Ur gay as hell   yeah keep playing with the joystick  oh an put it in ur mouth,1169,1795,5,4215,3697,True,,1945.0
87,87,28389123,Veruca72,"Atlanta, GA via Seattle, WA ",Thu Apr 02 18:22:34 +0000 2009,Flwd by hero Michelle Malkin/2deg BB/Jesus & WiFi are necessities Unapologetic Christian Conservative Homeschooling momma of 5. #God #Family #Football #Seahawks,1537,1510,44,213,17576,False,,423.0
88,88,759414356765442048,jacksterg51,,Sat Jul 30 15:44:26 +0000 2016,,21,54,0,140,421,False,,1827.0
89,89,234494371,Chris_McNabb,,Wed Jan 05 20:09:28 +0000 2011,,72,235,4,2222,2341,True,,2343.0
90,90,1751018990,oliviamarkos,"Colorado, USA",Sat Sep 07 15:08:31 +0000 2013,{VI•XV•XV} ✨22🍹✨ can i have a long island iced tea & nuggets? 💛,954,1294,9,6074,15023,True,,NA
91,91,714441955,blueapron,"New York, NY",Tue Jul 24 15:14:13 +0000 2012,"Blue Apron makes cooking fun & easy by sending you all the ingredients for incredible meals! #blueapron  BAW, Inc.",59704,1585,629,23282,37615,True,,NA
92,92,211645751,unrulygrl,pennsylvania,Wed Nov 03 21:13:19 +0000 2010,"record collector, music enthusiast, space oddity✨ fueled mostly by black coffee.",109,193,5,1179,14129,True,,643.0
93,93,1044705746443816960,AndrewGillis18,,Tue Sep 25 21:50:34 +0000 2018,,1,1,0,0,2,False,,NA
94,94,2277407742,D_Nakashimason,,Sun Jan 05 09:56:54 +0000 2014,Mortgage paying/Co-dog owning/Shoe enthusiast,315,371,1,2469,2133,False,,1000.0
95,95,577643484,Jjsreed,"Albany, NY",Fri May 11 23:51:26 +0000 2012,"Transportation Planner, Albany, New York City, Metro-Detroit, and University of Michigan, 24 (opinions are my own)",270,403,4,23378,2088,True,,NA
96,96,1077299214,OnePunchManSSBM,Boston / California,Thu Jan 10 18:19:53 +0000 2013,The way of the intercepting knee,204,146,0,2810,1430,True,,731.0
97,97,829576036622835712,alisajoy331,So Cal  USA,Thu Feb 09 06:21:54 +0000 2017,🌊🌊🌊🌊 #TheResistance #StrongerTogether I believe in Karma Trump will Feel it #EqualRights #AnimalRights #BlueWave I ❤️Ghosts Anything Paranormal #Tarot 😉🍒❤️,3612,4629,9,59077,28842,True,,NA
98,98,16329717,revrobrodriguez,"Phoenixville, PA",Wed Sep 17 14:56:49 +0000 2008,"Christ-follower, Husband, Father, Lead Pastor of Calvary Bible Church (@PhoenixvilleCBC), preacher, teacher, & student",624,892,28,626,8932,True,,287.0
99,99,91865882,SteveOKruz,"Albany, NY",Sun Nov 22 20:51:56 +0000 2009,"Indy Pro Wrestler, addrennaline junkie, burger guru, ink addict, beer snob, #BeardLife, #DaBears, #RedSox, #KCCO #BigCrossMan #EllisFam #BeardsBrewsTattoos",925,1440,10,1693,8428,True,,233.0
100,100,318312354,kalingcheng,"California, USA",Thu Jun 16 08:45:40 +0000 2011,"Combining my love for fashion, anime & toys. I also run a pretty cool shop. --- Owner of: https://t.co/yCych0F9lm // Instagram: @niniloves",36136,3091,166,6594,1110,False,,181.0
101,101,16606026,MCHangnail,"Philadelphia, PA",Sun Oct 05 21:32:42 +0000 2008,Clever bio. Witty quote. My views. he/him,421,1628,19,9241,5945,True,,448.0
102,102,26406385,chrishofley,"Ottawa, Ontario, Canada",Wed Mar 25 02:35:44 +0000 2009,"Media guy @REDBLACKS #FuryFC #67s / Former reporter / IG: HofOnSports/ RTs≠endorsements/ opinions don't reflect those of my employer, unless they agree w/ them",2674,946,106,1816,13872,True,,NA
103,103,1000972242384228352,GeniusKicks216,,Mon May 28 05:29:14 +0000 2018,Cop shoe. Sell shoe.,29,158,0,182,105,True,,335.0
104,104,964425108,ElishaSchlaegel,,Thu Nov 22 15:15:54 +0000 2012,,23,271,0,182,64,False,,284.0
105,105,878452948711374848,HonchoDuu,Nola/selu,Sat Jun 24 03:21:18 +0000 2017,Tryna make life easy as possible! #Restpops sc:duu_4,453,433,1,49,5731,True,,NA
106,106,372655122,MisfitMoonChild,"Okinawa-shi, Okinawa",Tue Sep 13 05:07:35 +0000 2011,. 24 . ♊️💖♋️. TX .,757,214,4,4100,15921,False,,NA
107,107,379914192,McCormackAine,"Pearl River, NY",Sun Sep 25 19:29:38 +0000 2011,living vicariously through myself ~ WVU ΔΓ alum,562,518,2,4496,4652,True,,236.0
108,108,1015983562925969412,thecorncolonel,,Sun Jul 08 15:38:52 +0000 2018,"One of the corniest people ever, from the standpoint of corn.",11,87,0,32,362,False,,341.5
109,109,106901519,Castleinferno,"ME, USA",Thu Jan 21 01:16:59 +0000 2010,"Got a business degree. Now what the fuck do I do? - Millennial bored with life. 



Twitch: Kidicarusx.",443,603,13,22252,102359,True,,256.0
110,110,446793103,Logan_main,Kenosha,Mon Dec 26 04:58:35 +0000 2011,@livschendl,311,216,3,1736,9984,True,,227.0
111,111,506875132,amandadalton05,"Christiansburg, VA",Tue Feb 28 04:24:41 +0000 2012,I love makeup! I like trying different products and giving my opinion. I'm also an animal lover!,364,1112,6,14191,5072,False,,216.0
112,112,4355555115,telewatcr,,Wed Dec 02 23:54:52 +0000 2015,,22,32,7,2144,2961,True,,221.0
113,113,3888662712,GroceryGay,Everywhere at Once (Plimsouls),Wed Oct 14 06:15:15 +0000 2015,Fan of @NoahWhiteXXX @KurtSummersXXX @LoganCrossXXX @BenMastersxxx @EzraMichaelsXXX @MaxCarterXXX @KyleRossXXX @CaseyHelix. (Him),2723,1267,3,43109,6700,True,,248.0
114,114,1444700376,418_lissa,"Nashville, TN",Mon May 20 20:35:00 +0000 2013,Saxophone ☆ Guitar ☆ Bass ☆ Ukulele ☆ Drums ☆ Band: @afofficial916 ☆ Instagram: @lissa_418 ☆ Xbox One: Meow2418 ☆ Youtube channel (link below),579,209,7,2042,2876,True,,NA
115,115,186375277,bjmccracken,,Fri Sep 03 08:38:45 +0000 2010,,44,295,2,32,1249,True,,308.0
116,116,14216169,physh,"San Francisco, CA",Tue Mar 25 15:22:10 +0000 2008,"Burgundy-born Parisian in SF. Data center nerd @google. Tweeting sarcasm since 1984. Avgeek, cassoulet enthusiast. Omnivore, atheist. Opinions are mine.",310,450,16,1681,9123,True,,409.0
117,117,230859668,champagnemell,D(M)V,Sun Dec 26 22:38:03 +0000 2010,Dallas Cowboys                                      King James👑 biggest fan,472,525,6,2505,43112,False,,294.0
118,118,468270685,ZroEmissions,,Thu Jan 19 10:54:32 +0000 2012,,6,20,0,4,33,False,,281.0
119,119,910457146642452481,wilby_sally,,Wed Sep 20 10:54:34 +0000 2017,,0,2,0,2,29,False,,343.0
120,120,4226343433,rxlychee,,Fri Nov 13 18:45:17 +0000 2015,,5,28,0,89,19,True,,198.0
121,121,1243166406,kidd_ce,,Tue Mar 05 08:13:37 +0000 2013,Trans. Black. Proud. Sneakers.,78,243,0,278,866,False,,119.0
122,122,26563395,rachelferrigno,New Jersey,Wed Mar 25 18:58:35 +0000 2009,Content Marketing Manager. Lifestyle blogger. Chicken finger enthusiast. Cat lady.,3168,563,126,3224,11882,True,,302.0
123,123,943164926289473541,CR93306942,,Tue Dec 19 17:03:36 +0000 2017,,0,22,0,2,19,False,,296.0
124,124,17690096,robertklevens,"Lauderhill, FL USA",Thu Nov 27 21:50:59 +0000 2008,Ⓥegan / Atheist / Liberal / MMA Black Belt,226,655,12,1617,1581,False,,2450.0
125,125,703953898319384576,RosnaRecaps,,Sun Feb 28 14:44:23 +0000 2016,"I write Ros na Rún recaps. Yes, I am a real person and not a spambot or business conglomerate. I don't work for TG4 or Ros na Rún so don't blame them",203,207,1,3215,2501,True,,NA
126,126,344811292,JGrigg,"Marlton, NJ",Fri Jul 29 16:36:27 +0000 2011,Talent Acquisition Manager For @MRKNCIan #MRKNMobb | @Twitch Partner | Powered by @Vertagear @ScufGaming @VictrixPro,26861,3640,38,14425,22758,True,,NA
127,127,21904136,SilkSmooth,"Stankonia, Georgia",Wed Feb 25 19:13:40 +0000 2009,Writer | Photographer (@BDYphotography) | Social Media Specialist | #BeyHive 🐝 | ΦΒΣ | Concert Connoisseur | Beach Bum | Cannabis Researcher #BlackLivesMatter,10011,5716,361,15852,172257,True,,215.0
128,128,1353565297,StinkyTrav15,"Fairfield, CT",Mon Apr 15 05:38:25 +0000 2013,"CMSV Sports Management '19
#KeepPounding
#PinstripePride
#GoTigers
#HeatNation
#Sharks",857,1439,2,14872,14198,False,,223.0
129,129,87554754,MoeAnthony,Estambul-ebard.,Wed Nov 04 22:45:25 +0000 2009,"Estima a los buenos, ama a los débiles, huye de los malos, pero no odies a nadie.",261,460,1,123,7947,True,,262.0
130,130,383355592,Mauriciodelaga1,,Sat Oct 01 18:44:37 +0000 2011,"Rayado de corazón, Amo a mis hijas🇲🇽🇫🇷",278,568,0,2917,13856,True,,239.0
131,131,3048453635,manders4181,"Atlanta, GA",Sat Feb 21 02:18:00 +0000 2015,Love Animals! ❤️ Otter & Elephant fanatic. ❤️ #BeKindToElephants 🐘,672,446,17,35355,35611,False,,302.5
132,132,934306913843597312,SamLeugo,"Austin, Texas",Sat Nov 25 06:25:01 +0000 2017,"Exercise Science. Coach, Athlete, Gamer, tech nerd",40,236,2,873,415,False,,162.0
133,133,54372768,james_holstein,Almost Heaven,Mon Jul 06 23:28:03 +0000 2009,The outdoors. Golf. Sports. WVU Crim Alum.,780,912,9,30244,56057,True,,328.0
134,134,863454302333018112,Egyption_Jesus,,Sat May 13 18:02:02 +0000 2017,,17,107,0,3721,116,False,,NA
135,135,209958259,Tate566,"Greensboro, NC",Sat Oct 30 07:13:39 +0000 2010,"Gamer, black guy, Carolina Panthers fan, music lover, Playstation fanboy, exceptionally weird, and all around cool guy!",34,88,2,236,6009,True,,385.0
136,136,108389683,katschlossmache,buffalo ny,Mon Jan 25 20:01:46 +0000 2010,"writer, teacher, nana extraordinary!",40,350,1,698,1309,True,,NA
137,137,907352027931578368,PAwmcareavy,,Mon Sep 11 21:15:56 +0000 2017,,0,7,0,1,24,False,,130.0
138,138,73288366,lisfer,Valencia edo carabobo,Fri Sep 11 02:33:25 +0000 2009,snap lissfer,487,1878,2,26,595,False,,178.0
139,139,1544659514,Ken4VoIP,SIP induced Coma,Tue Jun 25 03:02:57 +0000 2013,FreeSWITCH Developer,399,329,29,356,1059,False,,182.0
140,140,431052506,FedExCanadaHelp,Canada,Wed Dec 07 21:28:40 +0000 2011,"FedEx Canada Customer Support //
Service à la clientèle de FedEx Canada //
1.800.GoFedEx 1.800.463.3339",900,1,8,10,10154,False,,NA
141,141,350072433,chucknology_,,Sun Aug 07 04:49:21 +0000 2011,"Designer at Respawn 
Portfolio https://t.co/ussEB0C2YA
One man Post-Metal band Laden https://t.co/4qrFQajcID",1275,269,22,7535,2852,False,,NA
142,142,928666383210242049,skitheastcoast,,Thu Nov 09 16:51:34 +0000 2017,,1,14,0,9,33,False,,263.0
143,143,29025871,TheIndieHandbk,Ohio; Tennessee,Sun Apr 05 17:44:08 +0000 2009,"Often erstwhile music blog. Classic film nerd, #TCMParty person, sometime film fest juror, home coffee roaster. #SaveTheCrew. @WheatonCollege alum (Name=Eric)",1709,1715,91,2130,28840,True,,207.5
144,144,3660111135,shannon_mcgrew,"California, USA",Tue Sep 15 04:23:04 +0000 2015,Founder of @nightmar1sh / Haunt Enthusiast @nchauntguide / Bylines @RueMorgue • @creepykingdom / #CannabisSupporter,1564,650,24,14517,6186,True,,237.0
145,145,390352271,DavidL919,"Conway, SC",Thu Oct 13 21:05:05 +0000 2011,"Conscious Human, seeker of truth. Fine print reader. Non swimming base jumper, so I'll have pesticides with my lettuce. I'm going to go anyway, and I'm k w it",16,18,0,14,256,False,,397.0
146,146,308088434,Bcwarlock0700,South Africa,Mon May 30 20:18:42 +0000 2011,"Guitarist, Lover of Metal, Gamer",47,171,0,803,856,False,,NA
